Company,Product,Address,Deadline
Senior Django Developer,Prixa Technologies,"Satdobato, Lalitpur","March 15, 2019, 11:55 p.m."
Officer - Community Based Rehabilitation (CBR),Karuna Foundation Nepal,"Ilam, Nepal","March 13, 2019, 11:59 p.m."
Unity3D Game Developer,Paracosma Nepal,"TBI Plaza, Nagpokhari Marg","March 20, 2019, 11:55 p.m."
Japanese Language Instructor,Laseter Language Training Center (LLTC),"Gatthaghar, Bhaktapur, Nepal","March 23, 2019, 11:59 p.m."
Counsellor,Echoes Global Education,"Kamalpokhari, Kathmandu","March 15, 2019, 11:55 p.m."
Contract Manager,Kumar Shrestha Nirman Sewa (KSNS),Out of Kathmandu valley,"March 9, 2019, 11:55 p.m."
Site Engineers,Kumar Shrestha Nirman Sewa (KSNS),Out of Kathmandu valley,"March 9, 2019, 11:55 p.m."
Sub Engineers/ Supervisors,Kumar Shrestha Nirman Sewa (KSNS),Out of Kathmandu valley,"March 9, 2019, 11:55 p.m."
Senior Test Automation Engineer,COTIVITI NEPAL,"Kathmandu, Nepal","March 22, 2019, 11:55 p.m."
Chiller & HVAC Engineer,Himal Refrigeration and Electrical Industries,"Sanepa, Lalitpur","March 22, 2019, 11:55 p.m."
Brand Manager,The Nepal Distilleries,"Kathmandu, Nepal","March 14, 2019, 11:55 p.m."
Smart Center Executive,Smart Telecom,"Kathmandu, Nepal","March 10, 2019, 11:55 p.m."
Marketing Officer,A Reputed Multinational Company,Kathmandu,"March 10, 2019, 5 p.m."
Marketing Supervisor/Marketing Representatives,Gunkari Saving and Credit Cooperative,"Pako, New Road","March 13, 2019, 11:55 p.m."
Marketing Executives,Kanchan Sky Digital Wireless TV,Pepsicola Kathmandu,"March 9, 2019, 11:55 p.m."
Sales Officer,RB Diamond Jewellers,"Pyukha, New Road, Kathmandu","March 13, 2019, 11:55 p.m."
Sales Executive Officer,Gdigital Media Solutions,"Kathmandu, Nepal","March 10, 2019, 11:55 p.m."
Sales Representative,Asia Trade International Pvt Ltd,"Pokhara, Narayanghat","March 13, 2019, 11:55 p.m."
Area Sales Manager/ Assistant Manager,Chaudhary Group in partnership with JTI,kathmandu,"March 21, 2019, 11:55 p.m."
Sales Supervisor/ Executive Level,Chaudhary Group in partnership with JTI,Kathmandu/ Kathmandu West or Kathmandu East,"March 21, 2019, 11:55 p.m."
Food Technologist/Microbiologist,Shikhar Organization Limited,"Kharipati, Bhaktapur","March 10, 2019, 11:55 p.m."
Clinical Research Fellow,Tilganga Institute of Opthalmology,"Tilganga Institute of Ophthalmology, Kathmandu","March 16, 2019, 5 p.m."
Matron,Narayani Samudayik Hospital,"Hospital road,bharatpur-10  chitwan","March 9, 2019, 11:55 p.m."
Medical Officer,Narayani Samudayik Hospital,"Kathmandu, Nepal","March 13, 2019, 11:55 p.m."
Biomedical Engineer,Nepal Cancer Hospital and Research Center (NCHRC) Pvt. Ltd.,"Kathmandu, Nepal","March 15, 2019, 11:55 p.m."
Officer - Community Based Rehabilitation (CBR),Karuna Foundation Nepal,"Ilam, Nepal","March 13, 2019, 11:59 p.m."
Staff Nurse,Sunaulo Parivar Nepal (SPN),Chandrauta,"March 12, 2019, 5 p.m."
Demand Generation Coordinator,Sunaulo Parivar Nepal (SPN),"Bardaghat, Bardibas and Chuchhepati","March 12, 2019, 5 p.m."
Commercial Sales Director,Marie Stopes Products and Trading,based in Kathmandu with significant field travel,"March 14, 2019, 5 p.m."
Accounts Manager,The Nepal Distilleries,"Kathmandu, Nepal","March 14, 2019, 11:55 p.m."
Senior Tax Officer,daraz.com.np,"Kathmandu, Nepal","March 9, 2019, 11:55 p.m."
Chartered Accountant,Prime Commercial Bank,"Kathmandu, Nepal","March 12, 2019, 11:55 p.m."
Supervisor Level,Prime Commercial Bank,"Kathmandu, Nepal","March 12, 2019, 11:55 p.m."
Finance cum Admin Executive,Casa Deyra,"Kathmandu, Nepal","March 12, 2019, 11:55 p.m."
Risk Management,Prime Commercial Bank,"Kathmandu, Nepal","March 12, 2019, 11:55 p.m."
Office Assistant,LRI School,"Kalankisthan, Kathmandu","March 10, 2019, 11:55 p.m."
Sr Assistant- Administration Unit,Nepal Cancer Hospital and Research Center (NCHRC) Pvt. Ltd.,"Kathmandu, Nepal","March 15, 2019, 11:55 p.m."
Administrative Officer,Um Hong Gil Human Foundation,Kathmandu with frequent field visits,"March 10, 2019, 11:55 p.m."
Inbound Tour Manager,Rupakot Tours and Travels,"Kathmandu, Nepal","March 12, 2019, 11:55 p.m."
Marketing Representative (Money Collector),Shikhar Deep Multipurpose Co-operative,"Bagbazar, Kathmandu","March 11, 2019, 11:55 p.m."
Branch Manager,Prime Commercial Bank,"Patan, Mahapal, Lalitpur","March 12, 2019, 11:55 p.m."
Officer Level,Prime Commercial Bank,"Newroad, Makhan, Kathmandu","March 12, 2019, 11:55 p.m."
Network and System Administrator,Prime Commercial Bank,"Kathmandu, Nepal","March 12, 2019, 11:55 p.m."
Gold Loan Supervisor/ Assistant,Prime Commercial Bank,"Kathmandu, Nepal","March 12, 2019, 11:55 p.m."
Japanese Language Instructor,Laseter Language Training Center (LLTC),"Gatthaghar, Bhaktapur, Nepal","March 23, 2019, 11:59 p.m."
Education Counselor,S.D Miracle Educational Consultancy,"Kathmandu, Nepal","March 21, 2019, 11:55 p.m."
IELTS Instructor,American Educational Research & Training Center,"Putalisadak, Kathmandu","March 12, 2019, 11:59 p.m."
Counsellor,Echoes Global Education,"Kamalpokhari, Kathmandu","March 15, 2019, 11:55 p.m."
Grade teacher ( PG to Class 2),Pranidhi English Secondary School,"Kathmandu, Nepal","March 13, 2019, 11:55 p.m."
Ticketing Officer - Female,Sunny Travels,"Kathmandu, Nepal","March 12, 2019, 11:55 p.m."
Resident Manager,Green Mansions Jungle Resort,"Chitwan, Nepal","March 13, 2019, 11:55 p.m."
Captain / Senior Waiter,Captain Egg,"Gahanapokhari, Kathmandu","March 20, 2019, 11:55 p.m."
Front Office Supervisor,Hotel Mandala,"Kathmandu, Nepal","March 13, 2019, 11:55 p.m."
Housekeeping Executive,Hotel Annapurna,"Kathmandu, Nepal","March 14, 2019, 11:55 p.m."
Lead Javascript Engineer (Preferred ReactJS),UBA Solutions,"Kathmandu, Nepal","March 21, 2019, 11:55 p.m."
Senior Software Developer in Test,UBA Solutions,"Kathmandu, Nepal","March 21, 2019, 11:55 p.m."
Senior Javascript Engineer (Preferred ReactJS),UBA Solutions,"Kathmandu, Nepal","March 21, 2019, 11:55 p.m."
Senior PHP Engineer,UBA Solutions,"Kathmandu, Nepal","March 21, 2019, 11:55 p.m."
Senior Marketing Technologist,Omnicom Media Group Nepal,Kathmandu,"March 19, 2019, 11:55 p.m."
Radio Program Producer,Himal F.M,"Salleri, Solukhumbu","March 13, 2019, 11:55 p.m."
Digital marketing intern,ECS Media,"Kupondole, Lalitpur","March 13, 2019, 11:55 p.m."
Creative Writer,S.B. Web Technology,TNT Building Tinkune,"March 18, 2019, 11:59 p.m."
Reporter,Media 9,Naxal,"March 13, 2019, 11:55 p.m."
Content Writer,Prime Technologies,Shantinagar,"March 13, 2019, 11:55 p.m."
Customer Service Representative,daraz.com.np,"Kathmandu, Nepal","March 13, 2019, 11:55 p.m."
Office Assistant/Secretary,AMA Ghar,"Ama Ghar, Godavari","March 15, 2019, 11:55 p.m."
Receptionist,Kandyy.com,Kathmandu,"March 13, 2019, 11:55 p.m."
Front Desk Officer,Continental HRD Consultants,"Baluwatar,Kathmandu","March 9, 2019, 11:55 p.m."
Quality Control Officer,Jyoti Group,"Parwanipur, Parsa District","March 9, 2019, 11:55 p.m."
Jr. Purchase Officer,Jyoti Group,"Parwanipur, Parsa District","March 9, 2019, 11:55 p.m."
Production and Marketing Officer,Eco Concern Pvt. Ltd.,"Khumaltar, Lalitpur, Nepal","March 16, 2019, 11:55 p.m."
Assistant Manager/ Manager- Few,Prabhu Group,"Kathmandu, Nepal","March 12, 2019, 5 p.m."
Maintenance Manager ( Heavy Equipment Unit),Shakti Mineral Pvt. Ltd.,"Kathmandu, Nepal","March 10, 2019, 5 p.m."
InDesign Artist,Makarios,"Tangal, Kathmandu","March 18, 2019, 11:55 p.m."
UI/UX Designer - Work From Home,Diagonal Technologies,Work From Home,"March 15, 2019, 11:59 p.m."
Graphic Designer,Aawashyak Media,"Pulchowk Gabahal Road, Patan, Nepal","March 9, 2019, 11:55 p.m."
Design Trainee,Nest Media,"Lagankhel, Patan, Central Development Region, Nepal","March 20, 2019, 11:55 p.m."
Graphic Designer,Kratos Technologies,"Tripureshwor, Kathmandu, Central Development Region, Nepal","March 12, 2019, 11:55 p.m."
Store Manager,A Reputed Distillery,"Bharatpur, Chitwan","March 30, 2019, 11:55 p.m."
Assistant Purchase Executive,CBMEW Nepal Pvt. Ltd.,"Sinamangal, Kathmadu, Nepal","March 9, 2019, 11:55 p.m."
District Monitoring Engineers (DME),East West Engineering Services,"Gorkha, Makawanpur, Nuwakot, Rasuwa, and Dhading","March 12, 2019, 11:55 p.m."
Site Engineers,East West Engineering Services,"Gorkha, Makawanpur, Nuwakot, Rasuwa, and Dhading","March 12, 2019, 11:55 p.m."
Architect,Cides Engineering Consult,Kathmandu,"March 10, 2019, 11:55 p.m."
Mechanical Overseer,Hulas Autocraft,"Ramgram,Nawalparasi","March 15, 2019, 5 p.m."
Quantity Surveyor,A Reputed Building Construction Company,"Kathmandu, Nepal","March 16, 2019, 11:55 p.m."
Communication Executive,Casa Deyra,"Kathmandu, Nepal","March 12, 2019, 11:55 p.m."
Sales and Marketing Representative (Male),Satellite Nepal,"Kathmandu, Nepal","March 12, 2019, 11:55 p.m."
Marketing Employee,J.J Enterprizes,"Nepalgunj, Nepal","March 12, 2019, 11:55 p.m."
Business Development Officer,Softwarica College,Kathmandu,"March 12, 2019, 11:55 p.m."
Digital Marketing Specialist,Aakash Tech (InHeadline),"RR Building, Narayanchaur, Naxal","March 10, 2019, 11:55 p.m."
Chiller & HVAC Engineer,Himal Refrigeration and Electrical Industries,"Sanepa, Lalitpur","March 22, 2019, 11:55 p.m."
Sales Coordinator,Himalayan Encounters,"Kathmandu, Nepal","March 22, 2019, 11:55 p.m."
Data Analyst,COTIVITI NEPAL,"Kathmandu, Nepal","March 22, 2019, 11:55 p.m."
DevOps Engineer (System Team),COTIVITI NEPAL,"Kathmandu, Nepal","March 22, 2019, 11:55 p.m."
Technical Officer - Health Information Systems,Strengthening Systems for Better Health,Jumla,"March 16, 2019, 11:55 p.m."
Technical Officer - Health Systems Strengthening,Strengthening Systems for Better Health,Jumla,"March 16, 2019, 11:55 p.m."
Maternal Newborn Child Health and Family Planning (MNCH/FP) Specialist,Strengthening Systems for Better Health,Kathmandu,"March 16, 2019, 11:55 p.m."
Monitoring & Research Officer,Sunshine Social Development Organization,"Mayadevi Rural Municipality, Kapilvastu","March 12, 2019, 5 p.m."
Child Partner Management and Translation Officer (CPM),Sunshine Social Development Organization,"Mayadevi Rural Municipality, Kapilvastu","March 12, 2019, 5 p.m."
Factory Manager,A Reputed Printing and Packaging Company,Pokhara,"March 20, 2019, 5 p.m."
Automotive Division Head,Thee-Go,"Kathmandu, Nepal","March 15, 2019, 11:55 p.m."
Administrative Associate,ebeema.com,"Kamaladi, Kathmandu","March 15, 2019, 11:55 p.m."
Senior Facility Officer,Alfa Beta Institute,"Buddhanagar, New Baneshwor","March 15, 2019, 11:55 p.m."
Library Officer (Librarian),Prime College,"Kathmandu, Nepal","March 15, 2019, 11:55 p.m."
प्राविधिक प्रहरी जवान,प्रहरी प्रधान कार्यालय,"Lalitpur, Nepal","April 17, 2019, 5 p.m."
Hostel Warden,Machhapuchchhre School,"Kathmandu, Nepal","March 14, 2019, 5 p.m."
Hostel Warden (Boys/Girls Hostel),KMC School,"Kathmandu, Nepal","March 16, 2019, 5 p.m."
IT Assistant,Prime Commercial Bank,"Kathmandu, Nepal","March 12, 2019, 11:55 p.m."
Trainee Assistant,Prime Commercial Bank,"Kathmandu, Nepal","March 12, 2019, 11:55 p.m."
Insurance Specialist,A Reputed Insurance Company,Pokhara,"March 16, 2019, 5 p.m."
Team Assistants,World Bank Group,"Kathmandu, Nepal","March 15, 2019, 5 p.m."
Trainee Assistant,Nepal Bangladesh Bank Ltd.,"Kathmandu, Nepal","March 14, 2019, 5 p.m."
Teachers (Class 8 to 10),Pranidhi English Secondary School,"Kathmandu, Nepal","March 13, 2019, 11:55 p.m."
School Coordinator,The Velocity School ,"Mulpani, Kathmandu","March 15, 2019, 11:59 p.m."
Teachers - All Levels,LRI School,"Kalankisthan, Kathmandu","March 10, 2019, 11:55 p.m."
Grade Teachers,LRI School,"Kalankisthan, Kathmandu","March 10, 2019, 11:55 p.m."
Program Manager: Education,The Oda Foundation,Kalikot,"March 15, 2019, 11:55 p.m."
Senior Vendor Manager – Women’s Fashion Category,daraz.com.np,"Kathmandu, Nepal","March 16, 2019, 11:55 p.m."
Sales Coordinator,Himalayan Encounters,"Kathmandu, Nepal","March 22, 2019, 11:55 p.m."
Corporate Communications Manager,Gorkha Brewery Pvt. Ltd.,"Kathmandu, Nepal","March 9, 2019, 11:55 p.m."
Sales Manager,Park Village Hotel,"Kathmandu, Nepal","March 10, 2019, 11:55 p.m."
Senior Java Developers,Verisk Nepal,"Kathmandu, Nepal","March 20, 2019, 11:55 p.m."
Sr. PHP Laravel Developer,CodeBee Nepal,"107 Dhalku Marg, Bhatbhateni Kathmandu, Nepal 44600","March 13, 2019, 11:55 p.m."
Senior Software Engineer - PHP,Grepsr,Kathmandu,"March 13, 2019, 11:55 p.m."
Data Analyst,COTIVITI NEPAL,"Kathmandu, Nepal","March 22, 2019, 11:55 p.m."
DevOps Engineer (System Team),COTIVITI NEPAL,"Kathmandu, Nepal","March 22, 2019, 11:55 p.m."
Receptionist,LRI School,"Kalankisthan, Kathmandu","March 10, 2019, 11:55 p.m."
Front Desk Officer,Virinchi College,"Pulchowk, Lalitpur","March 15, 2019, 11:55 p.m."
Executive Secretary to the President,Alfa Beta Institute,"Buddhanagar, New Baneshwor","March 14, 2019, 11:55 p.m."
Receptionist,A leading Auditing and Accounting Firm,"Kathmandu, Nepal","March 15, 2019, 11:55 p.m."
Front Desk Representative,The Nana Hotels,Patan Kathmandu,"March 14, 2019, 11:55 p.m."
Junior Broadcast Engineer (Few),Prabhu Group,"Pokhara, Chitwan, Bhairahawa, Damak and Bhedetar (Dhankuta)","March 12, 2019, 5 p.m."
Junior Social Media  Executive,Nepal Republic Media,"Kathmandu, Nepal","March 25, 2019, 5 p.m."
Social Media Trainee,Nepal Republic Media,"Kathmandu, Nepal","March 25, 2019, 5 p.m."
Photographer,Meridian International School,"Baluwatar, Kathmandu","March 14, 2019, 5 p.m."
Content Writer,NIC Asia Bank,Inside Valley Departments,"March 20, 2019, 5 p.m."
Assistant Manager – Accounts & Finance,Hester Biosciences Nepal,"Kathmandu, Nepal","March 14, 2019, 11:59 p.m."
Accounts Assistant,HLE Nepal,"Jawalakhel, Lalitpur, Nepal","March 16, 2019, 11:55 p.m."
Accountant,Continental HRD Consultants,"Soalteemode, Kathmandu, Central Development Region, Nepal","March 9, 2019, 11:55 p.m."
Junior Loan Officer,Star Saving and Credit Co-operative,"Baluwatar,Kathmandu","March 16, 2019, 11:55 p.m."
Finance Associate,Eco Concern Pvt. Ltd.,"Sallaghari, Bhaktapur","March 16, 2019, 11:55 p.m."
Mechanic Helper,Beni Hydro Power Project,"Solukhumbu, Nepal","April 1, 2019, 5 p.m."
हेड टेक्निशियन,Automobile Samrajya Pvt. Ltd.,"Kathmandu, Nepal","March 9, 2019, 5 p.m."
टेक्निशियन,Automobile Samrajya Pvt. Ltd.,"Kathmandu, Nepal","March 9, 2019, 5 p.m."
टेक्निशियन हेल्पर,Automobile Samrajya Pvt. Ltd.,"Kathmandu, Nepal","March 9, 2019, 5 p.m."
Civil Overseer,A Reputed Building Construction Company,"Kathmandu, Nepal","March 16, 2019, 11:55 p.m."
Architects,A Reputed Building Construction Company,"Kathmandu, Nepal","March 16, 2019, 11:55 p.m."
Civil Engineer,Mountain Infra Company Pvt. Ltd.,Lazimpat,"March 13, 2019, 11:55 p.m."
Site Supervisor,A Reputed Building Construction Company,"Kathmandu, Nepal","March 20, 2019, 11:55 p.m."
Technical Writers,Datalytics,"Bhatbhateni, Naxal","March 16, 2019, 11:55 p.m."
Store Manager,A Reputed Distillery,"Bharatpur, Chitwan","March 30, 2019, 11:55 p.m."
Assistant Purchase Executive,CBMEW Nepal Pvt. Ltd.,"Sinamangal, Kathmadu, Nepal","March 9, 2019, 11:55 p.m."
Graphic Designer,ECS Media,"Kupondole, Lalitpur","March 13, 2019, 1:55 p.m."
Graphic Designer,A Trading Company,"Kathmandu, Nepal","March 13, 2019, 11:55 p.m."
Web Designer,Top Nepal International,"Baluwatar, Kathmandu","March 14, 2019, 11:55 p.m."
Senior Visual Designer,Pagevamp Nepal Pvt Ltd,"Jhamsikhel, Lalitpur","March 20, 2019, 5 p.m."
HR Officer,Omnicom Media Group Nepal,Kathmandu,"March 25, 2019, 11:55 p.m."
Secretary,Continental HRD Consultants,"Baluwatar,Kathmandu","March 9, 2019, 11:55 p.m."
HR Manager,An Education Institution,"Kathmandu, Nepal","March 14, 2019, 11:55 p.m."
Research Officer,Center for Molecular Dynamics,Kathmandu,"March 12, 2019, 5 p.m."
School Nurse (ANM/ CMA),Wilson Academy,"Sitapaila, Kathmandu","March 21, 2019, 11:55 p.m."
प्राविधिक प्रहरी नायव उपरीक्षक (MS Surgery),प्रहरी प्रधान कार्यालय,"Kathmandu, Nepal","April 17, 2019, 5 p.m."
रजिष्ट्रार कार्डियाेलिजी,शहीद गंगालाल राष्ट्रिय हृदय केन्द्र,"Kathmandu, Nepal","March 22, 2019, 5 p.m."
Senior Finance & Grants Manager,The Asia Foundation,"Kathmandu, Nepal","March 10, 2019, 5 p.m."
Monitoring and Evaluation (M&E) Officer,Human Rights Awareness Center (HURAC),"Rolpa, Nepal","March 10, 2019, 5 p.m."
Grant Management Lead,United Mission to Nepal,"Kathmandu, Nepal","March 22, 2019, 5 p.m."
Administrative and Finance Officer (Female),United Mission to Nepal,"Mugu, Nepal","March 20, 2019, 5 p.m."
Project Coordinator,Ipas Nepal,"Kathmandu, Nepal","March 12, 2019, 11:55 p.m."
Senior Oracle – PL/SQL Developer,COTIVITI NEPAL,"Kathmandu, Nepal","March 22, 2019, 11:55 p.m."
Dot Net Developer,COTIVITI NEPAL,"Kathmandu, Nepal","March 22, 2019, 11:55 p.m."
Senior DevOps Engineer (System Team),COTIVITI NEPAL,"Kathmandu, Nepal","March 22, 2019, 11:55 p.m."
Senior Dot Net Developer,COTIVITI NEPAL,"Kathmandu, Nepal","March 22, 2019, 11:55 p.m."
Java Developer,COTIVITI NEPAL,"Kathmandu, Nepal","March 22, 2019, 11:55 p.m."
Marketing Executive,A Car Rental Company,"Kathmandu, Nepal","March 9, 2019, 11:55 p.m."
Assistant Manager - Marketing,A Car Rental Company,"Kathmandu, Nepal","March 9, 2019, 11:55 p.m."
Marketing Officer,Texts and Designs Pvt. Ltd.,"Pulchowk, Lalitpur","March 13, 2019, 11:55 p.m."
Sales and Marketing Engineer,Trade Link Inc. Pvt. Ltd.,Kathmandu,"March 10, 2019, 11:55 p.m."
Marketing Representative,Net Payment Solution,"Panipokhari, Kathmandu","March 13, 2019, 11:55 p.m."
Admin and Legal Executive,A Manufacturing Company,"Kathmandu, Nepal","March 16, 2019, 11:55 p.m."
Admin/Procurement officer,United Wire and Cable Industries,"Kathmandu, Nepal","March 16, 2019, 11:55 p.m."
Administrative Assistant,New Technical Waterproofing and Infra Rehabilitation,kathmandu,"March 18, 2019, 11:55 p.m."
Operations Assistant,Dharma Adventures,Kathmandu,"March 15, 2019, 11:55 p.m."
Operation Manager,Study Park Education Network,"Kalikasthan-29, Dillibazar","March 10, 2019, 11:55 p.m."
प्राविधिक प्रहरी जवान,प्रहरी प्रधान कार्यालय,"Lalitpur, Nepal","April 17, 2019, 5 p.m."
