Job,Company,Address,Deadline,URL
Receptionist- Few,Chhinnamasta Educational Academy & Medical College,"Rajbiraj-6, Saptari",4/20/2019,www.merojob.com/receptionist-few-7
Tetra pak Operator,Amrapali Beverage Pvt. Ltd.,"Gaushala, Mahottari",4/12/2019,www.merojob.com/tetra-pak-operator
Senior Quality Control Officer,Curex Pharmaceuticals Pvt. LTd.,"Kathmandu, Nepal",4/6/2019,www.merojob.com/senior-quality-control-officer-2
Quality Assurance Officer,Curex Pharmaceuticals Pvt. LTd.,"Kathmandu, Nepal",4/6/2019,www.merojob.com/quality-assurance-officer-21
Computer Operators - Few,A Reputed Company,"Sanga, Banepa, Kavre, Nepal",4/9/2019,www.merojob.com/computer-operators-few
ग्राफिक डिजाइनर,ब्ल्याक राइस भान्सा शिलाजीत कफि एण्ड क्याफे,"Buddhanagar, New Baneshwor, Kathmandu",4/9/2019,www.merojob.com/-1742
Web Graphic Designer,AECC Global Nepal,"Kathmandu, Nepal",4/9/2019,www.merojob.com/web-graphic-designer-20
HR and Admin Head,Panchakanya Group,Kathmandu,4/10/2019,www.merojob.com/hr-and-admin-head
HR Assistant,Innovate Nepal Group,Kathmandu,4/13/2019,www.merojob.com/hr-assistant-33
Senior Manager-Human Resources,Tilganga Institute of Opthalmology,"Kathmandu, Nepal",4/18/2019,www.merojob.com/senior-manager-human-resources
Business Development Executive,J & T Associates,"Kathmandu, Nepal",4/6/2019,www.merojob.com/business-development-executive-139
Project Manager,Meinhardt Group,"Kathmandu, Nepal",4/20/2019,www.merojob.com/project-manager-286
Accounts Officer,Meinhardt Group,"Kathmandu, Nepal",4/20/2019,www.merojob.com/accounts-officer-83
Business Development Executive (Female),EZ Trip,"Naxal, Nagpokhari Sadak, Kathmandu",4/19/2019,www.merojob.com/head-of-sales-marketing-preferably-female-2
Food & Beverage Manager,"AVID, Your Partner in Growth","Sanepa, lalitpur",4/11/2019,www.merojob.com/food-beverage-project-manager-2
Architect,KSM Services,"Charkhal, Kathmandu",4/19/2019,www.merojob.com/architect-255
Site Engineer / Overseer,ChainLink Engineering,"Sindhupalchok, Central Development Region, Nepal",4/12/2019,www.merojob.com/site-engineer-overseer-2
Robotics Engineers,InfoDevelopers,"Sanepa, Lalitpur",4/12/2019,www.merojob.com/robotics-engineers
इलेट्रिकल सुपरभाइजर - केही,अप्पर साेलु हाइड्राे इलेक्ट्रीक कम्पनि लि.,"Kathmandu, Nepal",4/12/2019,www.merojob.com/-1666
मेकानिकल सुपरभाइजर - केही,अप्पर साेलु हाइड्राे इलेक्ट्रीक कम्पनि लि.,"Pokhara, Nepal",4/12/2019,www.merojob.com/-1667
Chinese Language Instructor,Jagadamba International,"Mitrapark, Chabahil",4/6/2019,www.merojob.com/chinese-language-instructor-6
Academic Coordinator,Midas Education,Kathmandu,4/9/2019,www.merojob.com/academic-coordinator-16
English Teachers (Secondary and Lower Secondary),A Leading School,"Kathmandu, Nepal",4/17/2019,www.merojob.com/secondary-and-lower-secondary-english-teachers
Science Teachers (Secondary and Lower Secondary),A Leading School,"Kathmandu, Nepal",4/17/2019,www.merojob.com/secondary-and-lower-secondary-science-teachers
Maths Teachers (Secondary and Lower Secondary),A Leading School,"Kathmandu, Nepal",4/17/2019,www.merojob.com/secondary-and-lower-secondary-maths-teachers
Marketing Executive,Jaguar Investments,Kuleshwor,4/10/2019,www.merojob.com/marketing-executive-780
Marketing Officer,eSewa Fonepay,Biratnagar,4/11/2019,www.merojob.com/marketing-officer-824
Digital Marketing Expert,ANSSoft Incorporation,"Kathmandu, Nepal",4/9/2019,www.merojob.com/digital-marketing-expert-9
Sales/Marketing Manager,MiDas Technologies,Kathmandu,4/15/2019,www.merojob.com/salesmarketing-officer-5
Customer Counselor (Written English),Yodha,New Baneshwor,4/20/2019,www.merojob.com/customer-counselor-written-english-20
Accountant,Aarati Agritech,"Mitrapark, Chabahil",4/12/2019,www.merojob.com/accountant-1359
Account Officer,Mohar Digital Pvt Ltd,"Kumaripati - Mahalaximisthan Road, Patan, Nepal",4/14/2019,www.merojob.com/account-officer-303
Revenue Executive,Kamana News Publications,"Kathmandu, Nepal",4/15/2019,www.merojob.com/revenue-executive-3
Management Trainees – Few,Max Digital TV,"Kathmandu, Nepal",4/6/2019,www.merojob.com/management-trainees-few-2
Senior Accountant - Few,Max Digital TV,"Kathmandu, Nepal",4/6/2019,www.merojob.com/senior-accountant-few
Sr. Sales Officer / Sales Officer,A Multinational Company,"Pokhara, Nepal",4/11/2019,www.merojob.com/sr-sales-officer-sales-officer-3
Sales and Market Representative,Global Surgical Trade Concern,"Kathmandu, Nepal",4/19/2019,www.merojob.com/sales-and-market-representative-2
Sales Manager,Aarati Agritech,"Mitrapark, Chabahil",4/12/2019,www.merojob.com/sales-manager-214
Sales Officer (Agriculture Inputs),Aarati Agritech,"Mitrapark, Chabahil",4/12/2019,www.merojob.com/sales-officer-agriculture-inputs
Sales Officer,Jagdamba Overseas,Patan and Bhaktapur,4/13/2019,www.merojob.com/sales-officer-405
Senior Quality Assurance Engineer,UBA Solutions,"Kathmandu, Nepal",4/15/2019,www.merojob.com/senior-quality-assurance-engineer-6
Senior Software Developer in Test (SDET- Programmer with QA Mindset),UBA Solutions,"Kathmandu, Nepal",4/15/2019,www.merojob.com/senior-software-developer-in-test-sdet-programmer-with-qa-mindset-2
Java Developer,Clusus Information Solutions,"Jhamsikhel-2, Lalitpur, Nepal",5/3/2019,www.merojob.com/java-developer-84
Support and Implementation Engineers,Clusus Information Solutions,"Jhamsikhel-2, Lalitpur, Nepal",5/3/2019,www.merojob.com/support-and-implementation-engineers
QA Tester/ Project Manager,Spica Technology,Kathmandu,4/9/2019,www.merojob.com/qa-tester-project-manager
MDGP,Chhinnamasta Educational Academy & Medical College,"Rajbiraj-6, Saptari",4/20/2019,www.merojob.com/mdgp-14
MO- Few,Chhinnamasta Educational Academy & Medical College,"Rajbiraj-6, Saptari",4/20/2019,www.merojob.com/mo-few
Matron,Chhinnamasta Educational Academy & Medical College,"Rajbiraj-6, Saptari",4/20/2019,www.merojob.com/matron-17
BN- Few,Chhinnamasta Educational Academy & Medical College,"Rajbiraj-6, Saptari",4/20/2019,www.merojob.com/bn-few
Staff Nurse,Chhinnamasta Educational Academy & Medical College,"Rajbiraj-6, Saptari",4/20/2019,www.merojob.com/staff-nurse-106
Program Coordinator (Early Childhood Development)-1 Position,Plan International Nepal,Based in Nepalgunj Field Office,4/16/2019,www.merojob.com/program-coordinator-ecd-1-position
Project Coordinator for MCA-II Project-1 Position,Plan International Nepal,Country Office,4/16/2019,www.merojob.com/project-coordinator-1-position-5
Protection Coordinator-1 Position,Plan International Nepal,Based in Nepalgunj Field Office,4/16/2019,www.merojob.com/protection-coordinator-1-position
"Communications, Knowledge Management and Project Management Coordinator or Specialist",CAMRIS International,Kathmandu,4/19/2019,www.merojob.com/communications-knowledge-management-and-project-management-coordinator-or-specialist
Project Coordinator,Municipal Association of Nepal (MuAN),"Kathmandu, Nepal",4/11/2019,www.merojob.com/project-coordinator-137
Office Assistant,Kamana News Publications,"Kathmandu, Nepal",4/15/2019,www.merojob.com/office-assistant-334
Schedule Assistant,Kamana News Publications,"Kathmandu, Nepal",4/15/2019,www.merojob.com/schedule-assistant
Customer Support and Operation Officer,Paypoint Nepal,"Naxal, Kathmandu, Central Development Region, Nepal",4/6/2019,www.merojob.com/customer-support-and-operation-officer-8
Admin Officer,A Reputed Construction Company,Basundhara/Hattigauda,4/9/2019,www.merojob.com/admin-officer-102
Operations Manager,Isha Concern,Janakpur,4/10/2019,www.merojob.com/operations-manager-52
Junior Officer- Few,United Insurance Co. (Nepal) Ltd.,Head Office and Branch Offices,4/17/2019,www.merojob.com/junior-officer-few-4
Officer- Few,United Insurance Co. (Nepal) Ltd.,Head Office and Branch Offices,4/17/2019,www.merojob.com/officer-few-11
Head Agri-lending,Sanima Bank,"Naxal, Kathmandu, Nepal",4/17/2019,www.merojob.com/head-agri-lending
अधिकृत (तह ७),राष्ट्रिय वाणिज्य बैंक,"Kathmandu, Nepal",5/9/2019,www.merojob.com/-1753
वरिष्ठ सहायक (तह ५),राष्ट्रिय वाणिज्य बैंक,"Kathmandu, Nepal",5/9/2019,www.merojob.com/-1755
Cook (With Residential Facility),Erudite Academy Secondary School,"Nagarjun-2, Swoyambhu",4/9/2019,www.merojob.com/cook-with-residential-facility
Cook,REED Model School/College,"Buddhanagar, New Baneshwor, Kathmandu",4/10/2019,www.merojob.com/cook-132
रेष्टुरेण्ट सेफ,ब्ल्याक राइस भान्सा शिलाजीत कफि एण्ड क्याफे,"Buddhanagar, New Baneshwor, Kathmandu",4/9/2019,www.merojob.com/-1728
सिनियर कुक,ब्ल्याक राइस भान्सा शिलाजीत कफि एण्ड क्याफे,"Buddhanagar, New Baneshwor, Kathmandu",4/9/2019,www.merojob.com/-1729
Hostel Warden,REHDON College & School,"REHDON Pul, Samakhusi, Kathmandu",4/10/2019,www.merojob.com/hostel-warden-31
"Hostel Warden (1 Male, 1 Female)",REED Model School/College,"Nagarjun-2, Swoyambhu",4/10/2019,www.merojob.com/hostel-warden-1-male-1-female
सेक्युरिटि गार्ड,ब्ल्याक राइस भान्सा शिलाजीत कफि एण्ड क्याफे,"Buddhanagar, New Baneshwor, Kathmandu",4/9/2019,www.merojob.com/-1740
Hostel Warden,Elixir Academy,"Kumarigal, Chabahil",4/11/2019,www.merojob.com/hostel-warden-32
Hostel Warden (Boys/Girls)- Intermediate,Xavier International College,"Kalopul, Kathmandu",4/12/2019,www.merojob.com/hostel-warden-boysgirls-intermediate
Receptionist,S.R. Drug Laboratories Pvt. Ltd.,"Tripureshwor, Kathmandu",4/6/2019,www.merojob.com/receptionist-1095
Receptionist,Him Rashmi High School,"Taraleshwor-9, Kathmandu",4/6/2019,www.merojob.com/receptionist-1099
Office Secretary,One Reputed Recruitment Agency,"Batisputali, Gaushala",4/7/2019,www.merojob.com/office-secretary-216
रिसेप्सनिष्ट,जुझारू बचत तथा ऋण सहकारी संस्था लि.,New Baneshwor,4/8/2019,www.merojob.com/-1707
रिसेप्सनिष्ट,च्छाे-राेल्पा जनरल अस्पताल प्रा. लि.,"Charikot, Dolakha",4/28/2019,www.merojob.com/-1717
Granulation Operator,QbD Pharmaceuticals Pvt. Ltd.,"Sanga, Banepa, Kavre, Nepal",4/18/2019,www.merojob.com/granulation-operator
Compression Machine Operator,QbD Pharmaceuticals Pvt. Ltd.,"Sanga, Banepa, Kavre, Nepal",4/18/2019,www.merojob.com/compression-machine-operator
Automatic Capsule Filling Machine Operator,QbD Pharmaceuticals Pvt. Ltd.,"Sanga, Banepa, Kavre, Nepal",4/18/2019,www.merojob.com/automatic-capsule-filling-machine-operator
Autocoater (Coating) Operator,QbD Pharmaceuticals Pvt. Ltd.,"Sanga, Banepa, Kavre, Nepal",4/18/2019,www.merojob.com/autocoater-coating-operator
Maintenance Supervisor,QbD Pharmaceuticals Pvt. Ltd.,"Sanga, Banepa, Kavre, Nepal",4/18/2019,www.merojob.com/maintenance-supervisor-5
Aerosol Measurement Research Associate (Open For Nepali Nationals only),The International Centre for Integrated Mountain Development (ICIMOD),Kathmandu,4/17/2019,www.merojob.com/aerosol-measurement-research-associate-open-for-nepali-nationals-only
Air Pollution Emissions Measurement Research Associate (Open for Nepali Nationals only),The International Centre for Integrated Mountain Development (ICIMOD),Kathmandu,4/17/2019,www.merojob.com/air-pollution-emissions-measurement-research-associate-open-for-nepali-nationals-only
Trace Gas Measurement Research Associate (Open for Nepali Nationals only),The International Centre for Integrated Mountain Development (ICIMOD),"Kathmandu, Central Development Region, Nepal",4/17/2019,www.merojob.com/gas-measurement-research-associate-open-for-nepali-nationals-only
Junior Research Analyst,A Multinational Company,"Kathmandu, Nepal (with frequent field visit)",4/9/2019,www.merojob.com/junior-research-analyst-9
HR and Admin Officer,Delta Tech,Biratnagar,4/9/2019,www.merojob.com/hr-and-admin
Aerosol Measurement Research Associate (Open For Nepali Nationals only),The International Centre for Integrated Mountain Development (ICIMOD),Kathmandu,4/17/2019,www.merojob.com/aerosol-measurement-research-associate-open-for-nepali-nationals-only
Air Pollution Emissions Measurement Research Associate (Open for Nepali Nationals only),The International Centre for Integrated Mountain Development (ICIMOD),Kathmandu,4/17/2019,www.merojob.com/air-pollution-emissions-measurement-research-associate-open-for-nepali-nationals-only
Trace Gas Measurement Research Associate (Open for Nepali Nationals only),The International Centre for Integrated Mountain Development (ICIMOD),"City Center, Kamalpokhari, Kathmandu, Nepal",4/17/2019,www.merojob.com/gas-measurement-research-associate-open-for-nepali-nationals-only
Marketing Executive,Echoes Global Education,Chitwan,4/12/2019,www.merojob.com/marketing-executive-782
खेल प्रशिक्षक (ना.सु. सरह),कल्याणकारी याेजना निर्देशनालय,"Tanahu, Nepal",5/10/2019,www.merojob.com/-1688
Sr. Contract Specialist (Senior Engineers - Experts Level),Tractebel Engineering GmbH,"Tanahu, Nepal",4/11/2019,www.merojob.com/sr-contract-specialist-senior-engineers-experts-level
Senior. Design/Structural Engineer (Senior Engineers - Experts Level),Tractebel Engineering GmbH,"Tanahu, Nepal",4/11/2019,www.merojob.com/senior-designstructural-engineer-senior-engineers-experts-level
Social Studies Teachers (Secondary and Lower Secondary),A Leading School,"Kathmandu, Nepal",4/17/2019,www.merojob.com/secondary-and-lower-secondary-social-studies-teachers
Education Counselor,Option Educational Consultancy,"Kathmandu, Chitwan",4/12/2019,www.merojob.com/education-counselor-59
Computer Teacher (Secondary Level),Rolling Stones School,"Kathmandu, Nepal",4/12/2019,www.merojob.com/computer-teacher-secondary-level-6
Science/Maths Teachers (Primary/Lower Secondary),Rolling Stones School,"Kathmandu, Nepal",4/12/2019,www.merojob.com/sciencemaths-teachers-primarylower-secondary-2
Account Teacher (Grade 9 & 10 ),Adarsha Vidya Mandir (AVM) Higher Secondary Boarding School,"Lalitpur, Nepal",4/13/2019,www.merojob.com/account-teacher-grade-9-10
Marketing Executive,An Education Institution,"Kathmandu, Nepal",4/9/2019,www.merojob.com/marketing-executive-784
Marketing Officer,An Education Institution,"Kathmandu, Nepal",4/9/2019,www.merojob.com/marketing-officer-826
Digital Marketing Officer,Option Educational Consultancy,"Kathmandu, Nepal",4/12/2019,www.merojob.com/digital-marketing-officer-32
Customer Service Asscoaite,Classic Tech,Kathmandu Valley,4/10/2019,www.merojob.com/customer-service-asscoaite-2
Marketing Manager,Aloft Kathmandu,kathmandu,4/12/2019,www.merojob.com/marketing-manager-477
Recovery Manager,Hulas Foods,Kathmandu,4/19/2019,www.merojob.com/recovery-manager-10
Senior Accounts Officer,Power and Lighting Solutions Pvt. Ltd.,"Kathmandu, Nepal",4/11/2019,www.merojob.com/senior-accounts-officer-9
Junior Accountant,Power and Lighting Solutions Pvt. Ltd.,"Kathmandu, Nepal",4/11/2019,www.merojob.com/junior-accountant-58
Chartered Accountant (Jr. Officer/Officer Level),Gurkhas Finance Limited (GUFL),"Kathmandu, Nepal",4/11/2019,www.merojob.com/chartered-accountant-jr-officerofficer-level
Legal Officer (Jr. Officer/Officer Level),Gurkhas Finance Limited (GUFL),"Kathmandu, Nepal",4/11/2019,www.merojob.com/legal-officer-jr-officerofficer-level
Distribution Assistant,Kamana News Publications,"Kathmandu, Nepal",4/15/2019,www.merojob.com/distribution-assistant-3
Correspondence Executive (French Market),Dharma Adventures,"Kathmandu, Nepal",4/6/2019,www.merojob.com/assistant-to-account-manager-french-market
Marketing Manager,Socheko.com,Kathmandu,4/7/2019,www.merojob.com/marketing-manager-478
Senior Manager - Business Development (Correspondence),Dharma Adventures,"Kathmandu, Nepal",4/20/2019,www.merojob.com/senior-manager-business-development-correspondence
Sales Engineer,RB Merchant Pvt. Ltd.,Mid-Baneshwor,4/8/2019,www.merojob.com/sales-engineer-39
Senior JavaScript Developer (Preferred Angular),Proshore Nepal,"Tinkune Marg, Kathmandu, Nepal",4/12/2019,www.merojob.com/front-end-javascript-developer-2
Software Engineer - Angular,Bajra Technologies,"Mahakavi Marg, Dilli Bazaar, Kathmandu, Nepal",4/13/2019,www.merojob.com/software-engineer-73
Software Engineer - Ruby on Rails,Bajra Technologies,"Mahakavi Marg, Dilli Bazaar, Kathmandu, Nepal",4/12/2019,www.merojob.com/software-engineer-74
Visual Basic Programmer,IT Nepal,"Kathmandu, Nepal",4/15/2019,www.merojob.com/visual-basic-programmer-2
C# .Net Developer,AlphaBetaTheta Technologies,"Kalanki, Kathmandu",4/10/2019,www.merojob.com/net-developer-41
Health Assistant,Chhinnamasta Educational Academy & Medical College,"Rajbiraj-6, Saptari",4/20/2019,www.merojob.com/health-assistant-28
DMLT- Few,Chhinnamasta Educational Academy & Medical College,"Rajbiraj-6, Saptari",4/20/2019,www.merojob.com/dmlt-few
CMA,Chhinnamasta Educational Academy & Medical College,"Rajbiraj-6, Saptari",4/20/2019,www.merojob.com/cma-12
LAB Assistant,Chhinnamasta Educational Academy & Medical College,"Rajbiraj-6, Saptari",4/20/2019,www.merojob.com/lab-assistant-47
Radio Graphy,Chhinnamasta Educational Academy & Medical College,"Rajbiraj-6, Saptari",4/20/2019,www.merojob.com/radio-graphy
Project Accountant,COPPADES,"Sera Besishahar, Lamjung",4/10/2019,www.merojob.com/project-accountant-4
"Senior Project Officer, Adolescent Family Planning",PSI/Nepal,Nepalgunj,4/19/2019,www.merojob.com/senior-project-officer-adolescent-family-planning
Country Director,MercyCorps,"Lalitpur, Nepal",4/15/2019,www.merojob.com/country-director-14
Project Manager,"Habitat for Humanity International, Nepal","Itahari, Nepal",4/7/2019,www.merojob.com/project-manager-282
Senior Project Engineer,"Habitat for Humanity International, Nepal","Itahari, Nepal",4/7/2019,www.merojob.com/senior-project-engineer-3
Account/ Finance Executive,Digo Bikash Institute,"Koteshwor, Kathmandu",4/11/2019,www.merojob.com/account-finance-executive
Office Assistant- Few,Chhinnamasta Educational Academy & Medical College,"Rajbiraj-6, Saptari",4/20/2019,www.merojob.com/office-assistant-few-4
Manager- Few,Chhinnamasta Educational Academy & Medical College,"Rajbiraj-6, Saptari",4/20/2019,www.merojob.com/manager-few-6
Program Coordinator,Council for Technical Education and Vocational Training- SAKCHYAMTA Project,"Province 1, 3, 5 and Karnali Province",4/8/2019,www.merojob.com/program-coordinator-76
Pre-School Coordinator,Aksharica School,"Kathmandu, Nepal",4/10/2019,www.merojob.com/pre-school-coordinator-6
अधिकृत (तह ६),राष्ट्रिय वाणिज्य बैंक,"Kathmandu, Nepal",5/9/2019,www.merojob.com/-1754
डिसवासर,ब्ल्याक राइस भान्सा शिलाजीत कफि एण्ड क्याफे,"Buddhanagar, New Baneshwor, Kathmandu",4/9/2019,www.merojob.com/-1731
हाउस किपिङ,ब्ल्याक राइस भान्सा शिलाजीत कफि एण्ड क्याफे,"Buddhanagar, New Baneshwor, Kathmandu",4/9/2019,www.merojob.com/-1732
सुपरभाइजर,ब्ल्याक राइस भान्सा शिलाजीत कफि एण्ड क्याफे,"Buddhanagar, New Baneshwor, Kathmandu",4/9/2019,www.merojob.com/-1734
वारिष्ठा (कफिमेकर),ब्ल्याक राइस भान्सा शिलाजीत कफि एण्ड क्याफे,"Buddhanagar, New Baneshwor, Kathmandu",4/9/2019,www.merojob.com/-1736
बारटेण्डर,ब्ल्याक राइस भान्सा शिलाजीत कफि एण्ड क्याफे,"Buddhanagar, New Baneshwor, Kathmandu",4/9/2019,www.merojob.com/-1737
Receptionist / Accountant,Kathmandu Xavier's Public School,"Ghalate, Bhaktapur",4/9/2019,www.merojob.com/receptionist-accountant-2
Executive Secretary - Female,A Reputed Recruitment Consultant,Kirtipur,4/8/2019,www.merojob.com/executive-secretary-female-18
Maintenance Staff,QbD Pharmaceuticals Pvt. Ltd.,"Sanga, Banepa, Kavre, Nepal",4/18/2019,www.merojob.com/maintenance-staff
IPQA Assistant,QbD Pharmaceuticals Pvt. Ltd.,"Sanga, Banepa, Kavre, Nepal",4/18/2019,www.merojob.com/ipqa-assistant
Asst. Manager Production,QbD Pharmaceuticals Pvt. Ltd.,"Sanga, Banepa, Kavre, Nepal",4/18/2019,www.merojob.com/asst-manager-production
Production Officer,QbD Pharmaceuticals Pvt. Ltd.,"Sanga, Banepa, Kavre, Nepal",4/18/2019,www.merojob.com/production-officer-20
Senior Officer- QC,QbD Pharmaceuticals Pvt. Ltd.,"Sanga, Banepa, Kavre, Nepal",4/18/2019,www.merojob.com/senior-officer-qc
Aerosol Measurement Research Associate (Open For Nepali Nationals only),The International Centre for Integrated Mountain Development (ICIMOD),Kathmandu,4/17/2019,www.merojob.com/aerosol-measurement-research-associate-open-for-nepali-nationals-only
Air Pollution Emissions Measurement Research Associate (Open for Nepali Nationals only),The International Centre for Integrated Mountain Development (ICIMOD),Kathmandu,4/17/2019,www.merojob.com/air-pollution-emissions-measurement-research-associate-open-for-nepali-nationals-only
Trace Gas Measurement Research Associate (Open for Nepali Nationals only),The International Centre for Integrated Mountain Development (ICIMOD),"Kathmandu, Central Development Region, Nepal",4/17/2019,www.merojob.com/gas-measurement-research-associate-open-for-nepali-nationals-only
Junior Research Analyst,A Multinational Company,"Kathmandu, Nepal (with frequent field visit)",4/9/2019,www.merojob.com/junior-research-analyst-9
Architect / Interior Designer,Studio MRAA,"Panipokhari, Kathamandu",4/6/2019,www.merojob.com/architect-interior-designer-10
Architect,KSM Services,"Charkhal, Kathmandu",4/19/2019,www.merojob.com/architect-255
Architect/Draft Person,A Reputed Construction Company,Kathmandu,4/9/2019,www.merojob.com/architectdraft-person-33
Jr. Digital Marketing (SEO & SMM),Aakash Tech (InHeadline),"Naxal, Kathmandu",4/8/2019,www.merojob.com/digital-ads-officer
Architect / Interior Designer,Studio MRAA,"Panipokhari, Kathamandu",4/6/2019,www.merojob.com/architect-interior-designer-10
QA Tester/ Project Manager,Spica Technology,Kathmandu,4/9/2019,www.merojob.com/qa-tester-project-manager
Senior Manager-Human Resources,Tilganga Institute of Opthalmology,Kathmandu,4/18/2019,www.merojob.com/senior-manager-human-resources
Officer – Bancassurance Sales,KFA,Kathmandu,4/10/2019,www.merojob.com/officer-bancassurance-sales-4
Sr. Civil Engineer Roads (Senior Engineers),Tractebel Engineering GmbH,"Tanahu, Nepal",4/11/2019,www.merojob.com/sr-civil-engineer-roads-senior-engineers
Sr. Electro-Mechanical Engineer - PH (Senior Engineers),Tractebel Engineering GmbH,"Tanahu, Nepal",4/11/2019,www.merojob.com/sr-electro-mechanical-engineer-ph-senior-engineers
इन्जिनियर,अाैद्याेगिक क्षेत्र व्यवस्थापन लिमिटेड,"Kathmandu, Nepal",5/5/2019,www.merojob.com/-1756
सव-इन्जिनियर,अाैद्याेगिक क्षेत्र व्यवस्थापन लिमिटेड,"Kathmandu, Nepal",5/5/2019,www.merojob.com/-1758
सव-इन्जिनियर,अाैद्याेगिक क्षेत्र व्यवस्थापन लिमिटेड,"Kathmandu, Nepal",5/5/2019,www.merojob.com/-1759
Grade Ten EHP Teacher,Adarsha Vidya Mandir (AVM) Higher Secondary Boarding School,"Kathmandu, Nepal",4/13/2019,www.merojob.com/grade-ten-ehp-teacher-2
Computer Teachers (Secondary & Primary Level),Adarsha Vidya Mandir (AVM) Higher Secondary Boarding School,"Dhumbarahi, Kathmandu",4/13/2019,www.merojob.com/computer-teachers-5
English Teacher (Primary),Kantipur English High School,"Kathmandu, Central Development Region, Nepal",4/19/2019,www.merojob.com/english-teacher-83
Primary & Lower Secondary Level - Computer Science Teacher,Wilson Academy,"Dhulikhel-07, Municipality Road, Kavre, Province -3, Nepal",4/13/2019,www.merojob.com/primary-lower-secondary-level-computer-science-teacher
Business Development Officer,Mohar Digital Pvt Ltd,"Kumaripati-5, Lalitpur",4/14/2019,www.merojob.com/business-development-officer-331
Marketing Officer,Mohar Digital Pvt Ltd,"Kumaripati - Mahalaximisthan Road, Patan, Nepal",4/14/2019,www.merojob.com/marketing-officer-832
Senior Business Development Officer,Mohar Digital Pvt Ltd,"Kumaripati - Mahalaximisthan Road, Patan, Nepal",4/14/2019,www.merojob.com/senior-business-development-officer-5
Marketing Executive,Kamana News Publications,"Kathmandu, Nepal",4/15/2019,www.merojob.com/marketing-executive-788
Marketing Officer,BusSewa,"Kathmandu, Nepal",4/12/2019,www.merojob.com/marketing-officer-833
Officer Level (Credit Administration Department),Gurkhas Finance Limited (GUFL),"Kathmandu, Nepal",4/11/2019,www.merojob.com/officer-level-18
Sr Assistant to Jr. Officer Level (Bancassurance Department),Gurkhas Finance Limited (GUFL),Inside and Outside Valley Branches,4/11/2019,www.merojob.com/sr-assistant-to-jr-officer-level
Assistant/Jr. Assistant/Trainee Assistant,Gurkhas Finance Limited (GUFL),"Kathmandu, Nepal",4/11/2019,www.merojob.com/assistantjr-assistanttrainee-assistant
Senior Assistant Loan,Kumari Saving & Credit Co-Operative Ltd. (KUSCCOOP),"Kathmandu, Nepal",4/10/2019,www.merojob.com/senior-assistant-loan
Chief Accountant,Him Rashmi High School,"Kathmandu, Nepal",4/6/2019,www.merojob.com/chief-accountant-27
Sales Boy/ Girl,Vinayak Auto Enterprises,Itahari,4/12/2019,www.merojob.com/sales-boygirl-3
Sales Officer,AAC Nepal Traders Pvt. Ltd.,"Pulchowk, Lalitpur",4/11/2019,www.merojob.com/sales-officer-404
Commercial & Revenue Manager,Swiss International Hotels & Resorts,Kathmandu,4/11/2019,www.merojob.com/commercial-revenue-manager
Associate Director – Sales & Marketing/Director - Sales,Hotel Annapurna,"Kathmandu, Nepal",4/6/2019,www.merojob.com/associate-director-sales-marketingdirector-sales
Sales Manager,FOCUSONE Payment Solutions Pvt. Ltd.,"Kathmandu, Nepal",4/13/2019,www.merojob.com/sales-manager-213
Quality Analyst,EBPearls,Kathmandu,4/11/2019,www.merojob.com/quality-analyst-32
Project Manager,EBPearls,Kathmandu,4/11/2019,www.merojob.com/project-manager-281
Team lead PHP,Delta Tech,kathmandu,4/6/2019,www.merojob.com/team-lead-php
Technical Officer,Mercantile Traders,Biratnagar,4/25/2019,www.merojob.com/technical-officer-37
Junior Software Engineer (Android),New IT Venture,Kantipath,4/10/2019,www.merojob.com/junior-software-engineer-android
OT Assistant- Few,Chhinnamasta Educational Academy & Medical College,"Rajbiraj-6, Saptari",4/20/2019,www.merojob.com/ot-assistant-few
Female Doctors- Few,The Gurkha Welfare Trust Nepal,Area Welfare Centres (AWC) Kaski and Dharan,4/7/2019,www.merojob.com/female-doctors-few
MBBS Doctor,A Reputed Medical Centre,Sindhupalchowk,4/8/2019,www.merojob.com/mbbs-doctor
Nurse (Proficiency Certificate Level),A Reputed Medical Centre,Sindhupalchowk,4/8/2019,www.merojob.com/nurse-proficiency-certificate-level
Auxiliary Nurse Midwife (A.N.M.),A Reputed Medical Centre,Sindhupalchowk,4/8/2019,www.merojob.com/auxiliary-nurse-midwife-anm
Project Engineer,"Habitat for Humanity International, Nepal","Itahari, Nepal",4/7/2019,www.merojob.com/project-engineer-36
Information and Knowledge Management Officer,Helvetas Nepal,"Project Support Unit (PSU), Lalitpur",4/12/2019,www.merojob.com/information-and-knowledge-management-officer-2
Monitoring Officer- Women only,Helvetas Nepal,"Project Support Unit (PSU), Lalitpur with 50% field visit",4/12/2019,www.merojob.com/monitoring-officer-women-only
Monitoring Officer -Skills,Helvetas Nepal,State 2 (State Headquarter),4/12/2019,www.merojob.com/monitoring-officer-skills
Programme Officer,Helvetas Nepal,"State 3 (Chitwan), State 1 (Ilam and Khotang) and could b...",4/12/2019,www.merojob.com/programme-officer-19
Branch Managers- Few,Gurkhas Finance Limited (GUFL),"Inside and Outside Valley (Chhapradi-Siraha, Nepalgunj,Bi...",4/11/2019,www.merojob.com/branch-managers-few-3
Relationship Officer (Officer Level),Gurkhas Finance Limited (GUFL),"Kathmandu, Nepal",4/11/2019,www.merojob.com/officer-level-19
